Model ID,Type,Base Model,Task,Library,Download,Model Category,Real Type,Real base model,Real domain,is transformer-based,is_base_model,is_dependent_model,is_base_and_dependent_model,is_isloated,is_dependency_miss,is_dependency_wrong
PleIAs/Pleias-RAG-1B,,,text-generation,transformers,4951,NLP,/,,NLP,1,1,0,0,0,0,0
Helsinki-NLP/opus-mt-tc-big-en-ar,,,translation,transformers,8636,NLP,/,,NLP,1,1,0,0,0,0,0
microsoft/swin-base-patch4-window7-224,,,image-classification,transformers,52412,CV,/,,CV,1,1,0,0,0,0,0
facebook/wav2vec2-base-100k-voxpopuli,,,automatic-speech-recognition,transformers,8414,Audio,/,,Audio,1,1,0,0,0,0,0
Searchium-ai/clip4clip-webvid150k,,,text-to-video,transformers,9258,CV,finetune,openai/clip-vit-base-patch32,CV,1,0,1,0,0,1,0
megastudyedu/M-SOLAR-10.7B-v1.1-beta,finetune,upstage/SOLAR-10.7B-Instruct-v1.0,text-generation,transformers,4858,NLP,finetune,upstage/SOLAR-10.7B-Instruct-v1.0,NLP,1,1,1,1,0,0,0
nvidia/C-RADIOv2-VLM-H-RC3,,,,,280425,Unknown,/,/,CV,1,0,0,0,1,0,0
TheBloke/CapybaraHermes-2.5-Mistral-7B-GGUF,quantized,argilla/CapybaraHermes-2.5-Mistral-7B,,trl,7055,Unknown,quantized,argilla/CapybaraHermes-2.5-Mistral-7B,NLP,1,0,1,0,0,0,0
wangqixun/YamerMIX_v8,,,,diffusers,4831,Unknown,/,/,CV,0,0,0,0,1,0,0
Qwen/Qwen3-30B-A3B-FP8,quantized,Qwen/Qwen3-30B-A3B,text-generation,transformers,409973,NLP,quantized,Qwen/Qwen3-30B-A3B,NLP,1,0,1,0,0,0,0
timm/res2net101_26w_4s.in1k,,,image-classification,timm,22838,CV,/,/,CV,0,0,0,0,1,0,0
barissglc/tinyllama-tarot-v1,adapter,TinyLlama/TinyLlama-1.1B-Chat-v1.0,text-generation,peft,13774,NLP,adapter,TinyLlama/TinyLlama-1.1B-Chat-v1.0,NLP,1,0,1,0,0,0,0
Lewdiculous/Llama-3-Lumimaid-8B-v0.1-OAS-GGUF-IQ-Imatrix,,,,,6852,Unknown,quantized,NeverSleep/Llama-3-Lumimaid-8B-v0.1-OAS,NLP,1,0,1,0,0,1,0
TinyLlama/TinyLlama-1.1B-Chat-v0.4,,,text-generation,transformers,6013,NLP,finetune,TinyLlama-1.1B-intermediate-step-715k-1.5T,NLP,1,1,1,1,0,1,0
grimjim/Llama-3-Instruct-8B-SimPO-SPPO-Iter3-merge,merge,"UCLA-AGI/Llama-3-Instruct-8B-SPPO-Iter3, princeton-nlp/Llama-3-Instruct-8B-SimPO",text-generation,transformers,11522,NLP,merge,"UCLA-AGI/Llama-3-Instruct-8B-SPPO-Iter3, princeton-nlp/Llama-3-Instruct-8B-SimPO",NLP,1,1,1,1,0,0,0
Mungert/QwenLong-L1-32B-GGUF,quantized,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,text-generation,transformers,5282,NLP,quantized,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,NLP,1,0,1,0,0,0,0
lmstudio-community/QwQ-32B-MLX-4bit,,,text-generation,,138797,NLP,quantized,lmstudio-community/QwQ-32B,NLP,1,0,1,0,0,1,0
city96/HunyuanVideo-I2V-gguf,quantized,tencent/HunyuanVideo-I2V,image-to-video,gguf,2685,CV,quantized,tencent/HunyuanVideo-I2V,CV,0,0,1,0,0,0,0
mo-thecreator/vit-Facial-Expression-Recognition,,,image-classification,transformers,4107,CV,finetune,google/vit-base-patch16-224-in21k,CV,1,1,1,1,0,1,0
kyujinpy/KO-Platypus2-13B,,,text-generation,transformers,3331,NLP,finetune,hyunseoki/ko-en-llama2-13b,NLP,1,0,1,0,0,1,0
Kukedlc/NeuralLLaMa-3-8b-DT-v0.1,merge,"nbeerbower/llama-3-stella-8B, mlabonne/ChimeraLlama-3-8B-v2, uygarkurt/llama-3-merged-linear",text-generation,transformers,12235,NLP,merge,"nbeerbower/llama-3-stella-8B, mlabonne/ChimeraLlama-3-8B-v2, uygarkurt/llama-3-merged-linear",NLP,1,1,1,1,0,0,0
ISTA-DASLab/gemma-3-27b-it-GPTQ-4b-128g,quantized,google/gemma-3-27b-it,image-text-to-text,transformers,33131,Multimodal,quantized,google/gemma-3-27b-it,Multimodal,1,0,1,0,0,0,0
meta-llama/Meta-Llama-3-70B-Instruct,finetune,meta-llama/Meta-Llama-3-70B,text-generation,transformers,87922,NLP,finetune,meta-llama/Meta-Llama-3-70B,NLP,1,1,1,1,0,0,0
tiiuae/Falcon3-1B-Instruct,finetune,tiiuae/Falcon3-1B-Base,text-generation,transformers,31838,NLP,finetune,tiiuae/Falcon3-1B-Base,NLP,1,1,1,1,0,0,0
frosting-ai/compassmix-xl-lightning,,,text-to-image,diffusers,7825,CV,/,/,CV,0,0,0,0,1,0,0
OpenAssistant/pythia-12b-sft-v8-7k-steps,,,text-generation,transformers,2691,NLP,finetune,OpenAssistant/pythia-12b-pre-v8-12.5k-steps,NLP,1,0,1,0,0,1,0
Khoa/kompa-spam-filter-fnb-update-0625,,,,,42150,Unknown,/,/,NLP,1,0,0,0,1,0,0
kyujinpy/KO-Platypus2-7B-ex,,,text-generation,transformers,3319,NLP,finetune,beomi/llama-2-ko-7b,NLP,1,0,1,0,0,1,0
GanjinZero/biobart-v2-base,,,text-generation,transformers,4555,NLP,/,/,NLP,1,1,0,0,0,0,0
automerger/YamshadowExperiment28-7B,merge,"automerger/YamShadow-7B, yam-peleg/Experiment28-7B",text-generation,transformers,8302,NLP,merge,"automerger/YamShadow-7B, yam-peleg/Experiment28-7B",NLP,1,1,1,1,0,0,0
cross-encoder/ms-marco-MiniLM-L2-v2,quantized,cross-encoder/ms-marco-MiniLM-L12-v2,text-ranking,sentence-transformers,638452,Unknown,quantized,cross-encoder/ms-marco-MiniLM-L12-v2,NLP,1,1,1,1,0,0,0
microsoft/deberta-base-mnli,,,text-classification,transformers,23973,NLP,finetune,DeBERTa mode,NLP,1,1,1,1,0,1,0
alibaba-pai/CogVideoX-Fun-V1.1-5b-InP,,,,diffusers,8818,Unknown,/,/,Multimodal,1,1,0,0,0,0,0
Efficient-Large-Model/NVILA-Lite-8B,,,text-generation,transformers,7820,NLP,/,/,NLP,1,0,0,0,1,0,0
eclipsemint/kollama2-7b-v0,,,text-generation,transformers,3311,NLP,/,/,NLP,1,0,0,0,1,0,0
dnikolic/wav2vec2-xlsr-530-serbian-colab,,,automatic-speech-recognition,transformers,15596,Audio,finetune,facebook/wav2vec2-xls-r-300m,Audio,1,0,1,0,0,1,0
vikp/surya_rec,,,,transformers,6162,Unknown,/,/,CV,1,0,0,0,1,0,0
microsoft/codebert-base,,,feature-extraction,transformers,906939,NLP,/,/,NLP,1,1,0,0,0,0,0
nguyen599/ViDistilBERT-ESG-base,finetune,distilbert/distilbert-base-multilingual-cased,text-classification,transformers,11297,NLP,finetune,distilbert/distilbert-base-multilingual-cased,NLP,1,0,1,0,0,0,0
lllyasviel/control_v11p_sd15s2_lineart_anime,adapter,runwayml/stable-diffusion-v1-5,image-to-image,diffusers,6277,CV,adapter,runwayml/stable-diffusion-v1-5,CV,1,0,1,0,0,0,0
cragtmp/pair05-200,adapter,meta-llama/Llama-3.2-11B-Vision-Instruct,,peft,6227,Unknown,adapter,meta-llama/Llama-3.2-11B-Vision-Instruct,Multimodal,1,0,1,0,0,0,0
ibm-granite/granite-timeseries-ttm-r2,,,time-series-forecasting,granite-tsfm,4548376,Tabular,/,/,Tabular,0,0,0,0,1,0,0
Edentns/DataVortexS-10.7B-v0.3,finetune,hyeogi/SOLAR-10.7B-dpo-v0.1,text-generation,transformers,3309,NLP,finetune,hyeogi/SOLAR-10.7B-dpo-v0.1,NLP,1,1,1,1,0,0,0
facebook/xmod-base,,,fill-mask,transformers,64269,NLP,/,/,NLP,1,1,0,0,0,0,0
NousResearch/Hermes-3-Llama-3.1-405B-FP8,finetune,meta-llama/Llama-3.1-405B,,,2959,Unknown,finetune,meta-llama/Llama-3.1-405B,NLP,1,0,1,0,0,0,0
sentence-transformers/all-MiniLM-L12-v2,,,sentence-similarity,sentence-transformers,4396235,NLP,finetune,microsoft/MiniLM-L12-H384-uncased,NLP,1,1,1,1,0,1,0
microsoft/Orca-2-13b,,,text-generation,transformers,8177,NLP,finetune,LLAMA-2-13b,NLP,1,1,1,1,0,1,0
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,quantized,meta-llama/Llama-3.1-8B-Instruct,text-generation,transformers,14586,NLP,quantized,meta-llama/Llama-3.1-8B-Instruct,NLP,1,0,1,0,0,0,0
state-spaces/mamba-130m-hf,,,text-generation,transformers,51017,NLP,/,/,NLP,1,1,0,0,0,0,0
ustc-community/dfine-large-coco,,,object-detection,transformers,31821,CV,/,/,CV,1,1,0,0,0,0,0
