,arcee-ai/Virtuoso-Small,AtlaAI/Selene-1-Mini-Llama-3.1-8B,AtlaAI/Selene-1-Mini-Llama-3.1-8B-GPTQ-W8A8,amit2-0kr/food-disease-chatbot-recommender-v1,bartowski/Meta-Llama-3.1-8B-Instruct-GGUF,bartowski/Qwen2.5-14B-Instruct-GGUF,codelion/gemma-3-1b-it-reasoning-grpo-lora,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,distilbert/distilgpt2,dphn/Dolphin3.0-Llama3.2-1B,dphn/dolphin-2.8-mistral-7b-v02,facebook/opt-125m,failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,feelconstantfear/Llama-3.2-1B-QPTQ,FinGPT/fingpt-forecaster_dow30_llama2-7b_lora,FranckLucas08/Fine-Tuned_Lily,gaunernst/gemma-3-1b-it-int4-awq,google/flan-t5-base,google/gemma-3-1b-it,google/gemma-3-1b-pt,GRMenon/mental-health-mistral-7b-instructv0.2-finetuned-V2,grimjim/Llama-3-Instruct-abliteration-LoRA-8B,grimjim/Llama-3.1-8B-Instruct-abliterated_via_adapter,Io2007/gemma-3-1b-big,iqbalamo93/Meta-Llama-3.1-8B-Instruct-GPTQ-Q_8,jeiku/Aura_Qwen2_v2_7B,jeiku/dontusethis,JunHowie/Qwen3-8B-GPTQ-Int4,KurmaAI/AQUA-1B,lamptablet/gpt2-Q8_0-GGUF,lemon07r/Qwen3-R1-SLERP-Q3T-8B,LunaticPython161/CyberWitch-7B,marroyo777/flan-t5-base-Q4_K_M-GGUF,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-hf,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B,meta-llama/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B-Instruct,mistral-community/Mistral-7B-v0.2,mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-v0.1,monsterapi/gpt2_alpaca-lora,monsterapi/opt125M_alpaca,mradermacher/AtmaLLaMA-GGUF,mssongit/Qwen2.5-14B-SFT-LoRA-6e-5,nvidia/llama-3.1-nemoguard-8b-content-safety,openai-community/gpt2,Open-Bee/Bee-8B-RL,phanerozoic/Tiny-Pirate-1.1b-v0.1,podsni/hades-1B,postbot/distilgpt2-emailgen,prithivMLmods/Bee-8B-RL-abliterated,pszemraj/opt-125m-email-generation,Qwen/Qwen2-7B,Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct-GGUF,Qwen/Qwen2-7B-Instruct-GPTQ-Int4,Qwen/Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct-GPTQ-Int4,Qwen/Qwen3-8B,Qwen/Qwen3-8B-GGUF,RakshitAi/AtmaLLaMA,ResplendentAI/Qwen_jeiku_LoRA_128,ResplendentAI/Qwen_Sissification_LoRA_128,ResplendentAI/Qwen_Soul_LoRA_128,s3nh/TinyLLama-4x1.1B-MoE,segolilylabs/Lily-Cybersecurity-7B-v0.2,smgriffin/pop-lyrics-generator-v1,svjack/Qwen2-7B_Function_Call_tiny_lora,tahamajs/LLaMA-3-2-LoRA-EmotionTune-Full,TECHNOPRAVIN01/Qwen2.5-14B-Valor,Tensoic/TinyLlama-1.1B-3T-openhermes,TheBloke/Llama-2-7B-Chat-GPTQ,TheBloke/Mistral-7B-Instruct-v0.2-GGUF,TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,TheBloke/TinyLlama-1.1B-Chat-v1.0-GPTQ,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,unsloth/gemma-3-1b-it-GGUF,v000000/Qwen2.5-Lumen-14B,vanta-research/apollo-astralis-8b,WizardLMTeam/WizardMath-7B-V1.1,ysn-rfd/distilgpt2-Q8_0-GGUF,Qwen/Qwen2.5-1.5B,Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,marianoiry/gensyn-checkpoints-sturdy_twitchy_jay,tgtgeo/gensyn-checkpoints-jumping_gentle_ant,jeergrvgreg/uplifting-filter-v5,Irfanuruchi/qwen2.5-1.5b-dsp-finetuned,Qwen/Qwen2.5-Coder-1.5B,Pista1981/Child-0a24ec-python-0a24ec-015022,lakhera2023/Qwen-model,Qwen/Qwen2.5-Coder-1.5B-Instruct,huihui-ai/Qwen2.5-Coder-1.5B-Instruct-abliterated,mradermacher/Qwen2.5-Coder-1.5B-Instruct-abliterated-GGUF,QuantFactory/Qwen2.5-Coder-1.5B-Instruct-GGUF,Marsouuu/MiniQwenMathExpert-ECE-PRYMMAL-Martial,LilRg/ECE-1B-merge-PRYMMAL,unsloth/Qwen2.5-1.5B-bnb-4bit,Qwen/Qwen2.5-0.5B,Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,vanshs613/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-soaring_dappled_hippo,eiknarf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-rapid_stocky_stork,featherless-ai-quants/Gensyn-Qwen2.5-0.5B-Instruct-GGUF,straino/Qwen2.5-0.5B-Instruct-Q4_K_M-GGUF,RaykieLee/task-17-Qwen-Qwen2.5-0.5B,trumancai/Revela-500M,wulli/Qwen2.5-0.5B-sft-capybara,dphn/Dolphin3.0-Qwen2.5-0.5B,mergekit-community/mergekit-slerp-lxmmvuv,DevQuasar/Qwen2.5-0.5B-GGUF,mradermacher/Qwen2.5-0.5B-i1-GGUF,Emmet-Allen/christAIn-uncensored,mradermacher/Dolphin3.0-Qwen2.5-0.5B-GGUF,Falconsai/nsfw_image_detection,hanad/self_harm_detection,victorwkey/vit-food101,openai/whisper-large-v3,Oufei123/openai-whisper-large-v3-LORA-colab,AbdelrahmanHassan/whisper-large-v3-egyptian-arabic,firdhokk/speech-emotion-recognition-with-openai-whisper-large-v3,Byne/whisper-large-v3-arabic,nyrahealth/CrisperWhisper,nm-testing/whisper-large-v3.w4a16,miosipov/asr2_medium_CRSPR_v0.5,Qwen/Qwen2-VL-2B,Qwen/Qwen2-VL-2B-Instruct,lightonai/MonoQwen2-VL-v0.1,jinaai/jina-reranker-m0,unsloth/Qwen2-VL-2B-Instruct-unsloth-bnb-4bit,osunlp/UGround-V1-2B
arcee-ai/Virtuoso-Small,1.0093371,7.6038664e-06,-9.349847e-05,0.0003151884,-3.2089065e-05,0.06471212,0.015625672,-0.0009167884,0.010704747,-0.0007468787,-0.0007858787,0.004198004,-0.00011971154,0.006307786,-0.0024315026,-8.5356114e-05,0.016146868,0.00010872463,0.015625494,0.0157525,0.00011412507,0.00011732651,7.687484e-06,0.015752302,-2.9769688e-05,0.0023795946,0.0023798493,0.00035739425,0.015626602,0.012475271,-0.000911667,-0.00028238824,0.0001128824,0.0006125655,0.00066527573,0.00018935809,0.00021685661,-0.0006525526,0.00018580128,-0.000119732984,-0.0002935646,-0.00027165507,-0.00056285923,0.012414458,0.004165613,-0.002434104,0.064703345,-3.296877e-05,0.012475711,3.456538e-05,-0.00030924997,0.007889942,0.010855633,3.4563524e-05,0.0042927144,0.0023785827,0.0025013003,0.000971484,0.0009646276,1.0090774,1.0091207,0.063273095,-0.0008811938,0.00036742483,0.00061394164,0.0010312294,0.0010285506,0.0010284812,-9.215131e-05,-0.00023265851,0.0126794735,0.0009674508,0.006676912,1.0090948,-0.00028428138,-0.0024432857,4.2109396e-06,8.0612124e-05,-0.00010292965,-0.00017109189,-0.0003101457,-0.0003059765,0.015625494,1.0091094,0.00037434205,-0.0003466866,0.010708604,0.00352387,0.0041432665,0.0041432492,0.0041433135,0.0041438867,0.0035147532,0.0029050927,0.0013964769,0.0014847028,0.0014134239,0.0015724819,0.0012400931,0.0012400864,0.0037613122,0.0038652462,0.0038650816,0.003558056,0.01251545,0.0120532205,0.0120532205,0.012043088,0.012053215,0.012037734,0.012147077,0.012284847,0.012515434,0.012261002,0.012444995,0.012054362,0.012517363,0.012518044,0.012461645,0.012444995,0.00020096125,0.00020339974,0.00019619547,0.008030157,0.015473117,0.015260631,-9.0495e-05,0.015293432,0.015245093,0.014595461,0.015523676,-0.0047477516,-0.0039886637,-0.0040041283,-0.003965153,-0.0039284066,-0.0039618704
AtlaAI/Selene-1-Mini-Llama-3.1-8B,7.6038664e-06,1.0159209,0.023394711,-7.465178e-05,0.2796765,0.0005388585,-0.002478624,-0.00044771397,-0.0058123455,0.0015228679,0.0003997323,-0.017252386,0.8583553,-0.0006287072,0.002801695,-0.00031623003,-0.0048040706,0.0006423876,-0.0024844029,-0.008216503,-0.00026938127,0.24737689,1.015921,-0.008216654,0.2796413,0.00021947095,0.00021939086,-0.00038144225,-0.0021361127,-0.0075606788,-0.00047570065,0.00067893736,0.0006700357,0.0013715205,0.0013143462,0.00021373668,0.00018665132,0.0025725777,-3.2816384e-05,0.8583566,0.0006962429,0.00070815877,0.00019733784,-0.007507637,-0.01728509,0.0027886124,0.0005398337,0.2796683,-0.0075457296,0.00016244712,-0.0003372941,-0.0019970632,-0.0062678875,0.00016244854,-0.018845366,0.00021898915,0.00015747243,-0.00014435878,-8.304915e-05,6.081048e-06,1.143351e-05,0.0005773638,-0.0005805555,-0.00047962836,0.0013721604,-0.00017484454,-0.00017671598,-0.00017537734,8.869768e-05,0.0006790845,-0.0069104894,-0.00014148615,-0.00011080719,1.6142689e-05,-0.00036059355,0.0028302805,-0.00028685154,-0.00021921036,0.00010420492,0.00012920963,-0.00033793107,-0.00034941515,-0.0024844029,1.1871797e-05,-0.00047352244,0.00072411384,-0.0058062184,-0.005391703,-0.0054072,-0.0054071923,-0.0054072146,-0.0054058935,-0.0054022036,-0.005294807,-0.0016761032,-0.0017861844,-0.0016567121,-0.0014421999,-0.00066969707,-0.0006697009,-0.00330285,-0.0054110605,-0.0054116226,-0.0055609774,-0.008772557,-0.009523235,-0.009523235,-0.009526052,-0.009523243,-0.009502925,-0.009963574,-0.008556861,-0.008772542,-0.008702536,-0.008834006,-0.009521235,-0.008762023,-0.008764278,-0.008872176,-0.008834006,-0.00014017578,-0.00013940249,-0.00013727153,-0.0049303058,-0.010908184,-0.011242808,-1.7228058e-05,-0.011544403,-0.010839184,-0.0106266495,-0.010481602,-0.00027256424,0.00032175868,0.00033833858,0.00030320248,0.00055394793,0.00024443155
AtlaAI/Selene-1-Mini-Llama-3.1-8B-GPTQ-W8A8,-9.349847e-05,0.023394711,1.0041394,-0.000531476,0.0073451516,7.8075885e-07,-0.0059265504,-2.716098e-05,-0.006522751,-0.0026949393,3.826645e-05,-0.011202856,0.017602146,-0.0029833643,0.0021941375,0.00012846845,-0.0071668867,0.0005807008,-0.0059297765,-0.008616023,0.00019899766,0.0053403224,0.023394454,-0.0086159455,0.0073382924,8.7401655e-05,8.7392546e-05,-1.5344367e-05,-0.005718443,-0.0072208173,-2.4204985e-05,5.0802824e-05,0.0005522815,0.0019204749,0.0019212539,0.00014450024,0.00013709918,-0.0026034159,0.00028185488,0.017601134,5.1510513e-05,4.3377993e-05,-4.0468094e-05,-0.007120963,-0.011201933,0.002183226,1.987822e-06,0.0073437695,-0.007203419,-8.1200094e-05,6.3861684e-05,-0.0023281355,-0.006780806,-8.119977e-05,-0.011663419,8.7201035e-05,0.000111425215,-6.692378e-05,6.1420333e-06,-9.1499576e-05,-9.2502945e-05,7.5684584e-05,-2.6887727e-05,3.031291e-06,0.0019206234,-0.00012868262,-0.00012912466,-0.00012917399,-0.00014560102,4.4173925e-05,-0.0068597617,-6.7554036e-05,-0.0025084852,-9.268036e-05,8.1293685e-05,0.0022112327,0.00015430342,0.00013630584,-0.00013595277,-0.00013246479,6.133084e-05,6.0538965e-05,-0.0059297765,-9.27827e-05,-2.5180802e-06,2.96885e-05,-0.0065271887,-0.003755855,-0.004059789,-0.0040597753,-0.00405976,-0.0040580127,-0.0037230067,-0.0035749269,-0.00433133,-0.0044621015,-0.0043333047,-0.0033473584,-0.0028415099,-0.0028414808,-0.0025112699,-0.003979039,-0.0039793556,-0.003596637,-0.0064434144,-0.006072945,-0.006072945,-0.006057479,-0.0060729454,-0.006049819,-0.0064420295,-0.006585064,-0.0064434377,-0.006209875,-0.0063681393,-0.0060676676,-0.006403445,-0.006408283,-0.0063965227,-0.0063681393,-6.212362e-05,-6.168012e-05,-5.7257326e-05,-0.004695969,-0.009376926,-0.009387703,-0.00010697394,-0.009460003,-0.009194922,-0.009041925,-0.009106435,0.00772206,0.007840408,0.007922348,0.007859417,0.0070190136,0.007811526
amit2-0kr/food-disease-chatbot-recommender-v1,0.0003151884,-7.465178e-05,-0.000531476,1.00798,-0.0010076312,-8.4970285e-05,0.0013514443,-0.00040106283,0.0033810604,-0.0048458064,8.8236746e-05,0.0059321364,0.00013748919,0.0006094831,-0.0014550241,-0.00037693293,0.002690838,-0.0021288516,0.0013535623,0.002867506,-9.380069e-05,-0.0008945987,-7.537175e-05,0.0028717597,-0.001011339,-0.000233455,-0.00023346869,0.00018276996,0.0012514943,0.0026881793,-0.00038658953,0.00038575445,-0.0019145663,0.0016325652,0.0015954063,8.729726e-05,8.0062084e-05,-0.0030626745,-0.0003017519,0.00013748647,0.00028678268,0.00030573804,0.00055250875,0.002757656,0.005934093,-0.0014487654,-8.3860905e-05,-0.0010072624,0.0026764218,0.00022228723,0.00016781136,-2.3743025e-05,0.0034605076,0.00022229427,0.006099769,-0.000233435,-0.000245355,-0.0005428848,-0.0005227578,0.00032039333,0.00031075525,-8.2753984e-05,-0.0002579405,0.000122028396,0.0016302266,-0.0005997905,-0.0005973607,-0.00059925765,5.5841796e-05,0.0003798214,0.0023101517,-0.0005391152,0.00073918974,0.00031228014,0.00025550099,-0.0014148086,-0.0004960211,-0.00041884827,7.384598e-05,7.771902e-05,0.00016452573,0.00015134175,0.0013535623,0.000309788,0.00011906731,0.0005042056,0.0033973404,0.004250317,0.005422176,0.0054221745,0.0054223486,0.0054232734,0.004232503,0.004191077,0.0067788768,0.0069351736,0.006774679,0.006972436,0.006118256,0.006118276,0.008398954,0.004854236,0.0048545385,0.0045479923,0.008590617,0.008184632,0.008184632,0.0081894435,0.008184642,0.008187175,0.008146315,0.008939812,0.008590628,0.009125826,0.009124525,0.008183276,0.00860342,0.008600067,0.009155842,0.009124525,-3.5915396e-05,-3.6321315e-05,-3.5406658e-05,0.0016683559,0.0038290243,0.0038378546,0.00025267698,0.003848563,0.003753802,0.003665268,0.0036980156,-0.0060761855,-0.0064577856,-0.0064318846,-0.006462475,-0.0064555947,-0.006424266
bartowski/Meta-Llama-3.1-8B-Instruct-GGUF,-3.2103908e-05,0.2796734,0.0073448676,-0.0010076293,1.0127573,1.1536065e-05,0.0073464965,-0.00026418216,0.0026960857,0.007637503,-9.712838e-05,-0.012619484,0.24758856,0.0023160712,0.0013691357,0.00068171904,0.0055969465,-0.00021402062,0.007342175,0.0024581815,0.0008798897,0.8553987,0.27967477,0.0024582187,1.0126916,0.0005111893,0.0005110192,-0.0005280254,0.007580199,0.00053666404,-0.00027774388,0.0003912771,-0.00028497854,-0.00058836146,-0.00060727366,-0.00027862575,-0.00027111892,0.0077785174,-0.0008107505,0.24758871,0.00046140474,0.00044001848,7.588699e-05,0.00068487675,-0.012680382,0.0013659886,1.28695865e-05,1.0127214,0.0005298159,0.00016800714,3.232334e-05,0.0016702766,0.0024985275,0.0001680078,-0.013671889,0.00051029935,0.0004157294,0.00015772172,0.0002394999,-2.7443617e-05,-2.2929384e-05,0.00015189778,-0.00025751325,-0.0005846491,-0.00058982865,0.00021743884,0.00021986294,0.00021865565,-0.00034333637,0.00035017976,0.0009382593,0.00015787673,0.0025600628,-2.2190841e-05,4.2753123e-05,0.001407584,0.0007112567,0.00078013766,-0.000334391,-0.00024283222,2.912989e-05,2.569891e-05,0.007342175,-2.2638633e-05,-0.00057142903,0.00050426566,0.0027071747,-0.000989131,-0.00022803158,-0.0002280288,-0.00022802397,-0.0002271885,-0.001040039,-0.0010780449,0.005530387,0.0056100185,0.005550519,0.004540733,0.00483097,0.0048309974,-0.002519061,-0.000527129,-0.0005279311,-0.0014317511,-0.002462445,-0.004577604,-0.004577604,-0.004619142,-0.004577605,-0.0045863376,-0.0046969685,-0.0016962135,-0.0024624625,-0.0026391617,-0.002595423,-0.004579744,-0.0025027653,-0.0025039997,-0.002609156,-0.002595423,2.2092046e-05,2.149793e-05,2.2514389e-05,-0.0007199793,-0.0017377785,-0.0019992485,-8.9380424e-05,-0.0022580135,-0.0017324038,-0.0016047175,-0.0013578692,-0.011524135,-0.0105533535,-0.010547435,-0.010593191,-0.010644179,-0.010611131
bartowski/Qwen2.5-14B-Instruct-GGUF,0.06471212,0.0005388585,7.8075885e-07,-8.4970285e-05,1.156586e-05,1.0131148,-0.0021273885,2.7899374e-05,-0.0036768569,-0.0016146996,8.686523e-05,-0.004775464,0.0004993232,-0.00068537117,0.0006098644,-0.00022569,-0.003157458,0.0016327525,-0.0021291524,-0.0027808517,-5.176516e-05,-0.00011871834,0.00053909334,-0.0027805888,9.578005e-06,-0.0002985266,-0.00029820387,-0.00088162906,-0.0020078155,-0.0034851418,5.9159232e-05,0.00016087263,0.0017186707,0.0006399607,0.0007167915,-0.0001136051,-9.105912e-05,-0.0010876071,1.669157e-05,0.00049929594,7.9188525e-05,3.8707345e-05,-0.00016097879,-0.00347824,-0.0047664028,0.00060151896,1.0131078,1.1860667e-05,-0.0034678183,0.00047491796,0.00017898444,-0.0007198223,-0.0037401896,0.00047491875,-0.005165443,-0.000297093,-0.0002104664,0.002517941,0.0025806818,0.06473848,0.064730756,0.9923252,4.6126832e-05,-0.0008858544,0.00063985167,0.0023843155,0.0023884247,0.0024018986,-0.0003008313,0.00010560881,-0.0031163795,0.0025183829,-0.0005971265,0.06473324,0.00013043916,0.00062928395,-0.0002722044,-0.00029648223,-0.00030516044,-0.0003161611,0.00018201029,0.0001807169,-0.0021291524,0.06472324,-0.0008873251,0.00016412711,-0.0036971392,-0.0024276252,-0.003701053,-0.0037010545,-0.0037010876,-0.0037010687,-0.0024006858,-0.0023503841,-0.008368102,-0.008531086,-0.008372955,-0.007575058,-0.0069685644,-0.006968558,-0.004348684,-0.0031330073,-0.0031332264,-0.002174707,-0.004656622,-0.0036814704,-0.0036814704,-0.0036605236,-0.0036814795,-0.003641601,-0.0038989375,-0.005324759,-0.0046566376,-0.0049211667,-0.0048979493,-0.0036813444,-0.00461875,-0.0046177506,-0.004960691,-0.0048979493,5.0240877e-05,5.076034e-05,4.9481296e-05,-0.002398837,-0.0036558458,-0.0035711734,-0.00015882202,-0.0035415243,-0.003514881,-0.0036222283,-0.003492073,0.009407065,0.00967692,0.009708582,0.009720992,0.009915558,0.009669518
codelion/gemma-3-1b-it-reasoning-grpo-lora,0.015625672,-0.002478624,-0.0059265504,0.0013514443,0.007346303,-0.0021273885,1.0303725,-0.0031984197,0.6492046,0.02256928,-0.009769911,0.21597323,-0.0071784663,0.41005614,-0.08458231,-0.0012401586,1.0356727,-0.0057219383,1.0303135,0.98314637,0.0064027547,0.010433406,-0.0024719539,0.98310626,0.007352568,0.0014478525,0.0014479904,-0.003423555,1.0335566,0.75033975,-0.0032319971,-0.009562344,-0.005274676,0.073024035,0.07419238,0.009330524,0.00984057,0.030245414,0.0021398417,-0.007178453,-0.009818127,-0.009765737,-0.011524508,0.7452225,0.21300733,-0.084340915,-0.0021463847,0.007356854,0.7503708,-0.0021322141,-0.0054944907,0.45894155,0.6639883,-0.002132166,0.2068315,0.0014389533,0.0014226515,0.0097681945,0.008644453,0.015406177,0.015417873,-0.0030151522,-0.0016385793,-0.0021214113,0.07298928,0.012075994,0.01211306,0.012099295,0.0007034987,-0.009949339,0.7680408,0.009727192,0.41999653,0.015419902,-0.004531833,-0.084176056,0.0019181451,0.0066514434,0.000445808,-0.00016675617,-0.005477779,-0.005469982,1.0303135,0.015372539,-0.00186428,-0.0070161493,0.6492505,0.25340858,0.28563863,0.28563863,0.28564194,0.28569153,0.2524072,0.21547137,0.08508417,0.09003179,0.086414136,0.10092988,0.08623931,0.08623919,0.1980793,0.27170172,0.27168062,0.25846493,0.7481643,0.7153281,0.7153281,0.7145802,0.7153279,0.7149517,0.7195685,0.7282029,0.74816394,0.7292619,0.7395267,0.71532243,0.748575,0.74861753,0.73934954,0.7395267,0.00018550616,0.0001850432,0.00018488623,0.39174098,0.8169235,0.82437533,-0.0001321889,0.8206484,0.83048886,0.8156884,0.8451889,-0.3401398,-0.28286704,-0.28328887,-0.2812933,-0.28184438,-0.2819406
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,-0.0009167884,-0.00044771397,-2.716098e-05,-0.00040106283,-0.00026418126,2.7899374e-05,-0.0031984197,1.0169524,0.00022612154,-0.00057948194,0.00013591407,0.0072284685,-0.00010996898,-0.0007017647,-0.0018141591,0.000531396,-0.0021243978,-0.00031425187,-0.0031951414,0.00032549887,0.0005136947,-0.00026589248,-0.00044781482,0.00032550172,-0.00026709895,0.0002877823,0.00028774116,0.16341554,-0.003397546,0.0011881692,1.0152999,0.00022187443,-0.00034172885,-0.0020727662,-0.0020401196,-0.00034565135,-0.00030538495,0.00072108954,-0.00033864644,-0.00010997001,0.00021445808,0.00020842563,0.00012918485,0.0012074253,0.007257588,-0.0018167061,2.6930391e-05,-0.0002620254,0.0011788128,0.00019099152,6.124271e-05,-0.0038144512,0.00047350608,0.00019099232,0.008126248,0.00028822644,0.00036754768,-0.00062720024,-0.0006904977,-0.00092737237,-0.00092171284,4.1646414e-05,0.9970106,0.16644213,-0.002068927,-0.0006291512,-0.00063033873,-0.00063241593,9.288537e-05,0.00019456721,0.00078274333,-0.0006286111,-0.0007914624,-0.00092885544,3.9651703e-05,-0.0018595078,0.0005531879,0.00055822375,7.682996e-05,7.934929e-05,4.9535316e-05,4.9236998e-05,-0.0031951414,-0.00092110405,0.16645448,0.00013579444,0.00022153962,0.0007098029,0.0008236643,0.00082366355,0.0008235982,0.000822371,0.0007272281,0.0009023467,0.00029088857,0.00035901985,0.00026670436,0.00015916674,5.163238e-07,5.149741e-07,7.669281e-05,0.0007997938,0.0008003217,0.00051383814,-0.0012342372,-0.00083600654,-0.00083600654,-0.00083131995,-0.00083600235,-0.00085888186,-0.0006111967,-0.00140338,-0.0012342341,-0.0010176037,-0.0010160014,-0.0008376719,-0.0012589872,-0.0012580553,-0.0010110175,-0.0010160014,-8.802911e-05,-8.907095e-05,-8.944478e-05,0.0020265696,0.0036739483,0.0036955287,1.01557725e-05,0.0038314906,0.0034895965,0.003577818,0.0031786235,0.0010996078,0.00064643944,0.0006371159,0.0006251887,0.0006650423,0.00068732636
distilbert/distilgpt2,0.010704747,-0.0058123455,-0.006522751,0.0033810604,0.0026959933,-0.0036768569,0.6492046,0.00022612154,1.0399227,-0.013042978,-0.006859739,0.33719152,-0.007878938,0.26030278,-0.083854154,0.0001435559,0.68182254,-0.010516759,0.64922774,0.67672974,0.0067224125,0.0062027317,-0.0058101085,0.6767298,0.0026758572,-0.0013496848,-0.0013490331,-0.0002973994,0.6470617,0.8628982,0.00016041932,-0.006354781,-0.009991508,0.024873339,0.025821954,0.004784951,0.0049793567,-0.006239312,0.0017860159,-0.00787894,-0.0069008814,-0.006748626,-0.008163818,0.8601145,0.33570328,-0.083621584,-0.0037029325,0.0027044932,0.86287683,0.0013204745,-0.005074095,0.28619125,1.0378968,0.0013203159,0.3453795,-0.0013555149,-0.0012342273,0.0047742175,0.0036409977,0.010536216,0.010552431,-0.0045836056,0.0014839384,0.0012584794,0.024838457,0.0062155994,0.006225024,0.0061960383,0.000983234,-0.006554081,0.8577974,0.0047560325,0.25955042,0.010563426,-0.0046872324,-0.083957955,0.0019791266,0.0041441657,0.000772667,-0.00025500255,-0.0050279773,-0.0050114547,0.64922774,0.010526989,0.001438592,-0.0050222343,1.0397296,0.21086238,0.24207732,0.2420775,0.24207978,0.2420946,0.2101975,0.18727557,0.1360367,0.14117342,0.13661966,0.13673595,0.11587362,0.11587305,0.18121691,0.22823378,0.22823057,0.21547422,0.5642114,0.54339045,0.54339045,0.5428586,0.5433904,0.54283786,0.551365,0.55253136,0.56421155,0.5543397,0.5624939,0.5433363,0.5638849,0.5639256,0.5631618,0.5624939,0.00012241404,0.00012134201,0.00012326473,0.30206442,0.6091844,0.6142804,-0.00016700455,0.6140449,0.6135838,0.6026485,0.6199419,-0.28100318,-0.25553894,-0.25594857,-0.25480223,-0.25376502,-0.25420222
dphn/Dolphin3.0-Llama3.2-1B,-0.0007468757,0.0015228725,-0.0026949372,-0.0048458125,0.007637503,-0.0016146784,0.02256927,-0.00057948043,-0.013042957,1.0361753,-0.00091255887,-0.18301274,0.0021795623,0.002916342,0.030238459,0.0037122064,-0.002787768,0.004196396,0.022529904,-0.03352522,0.0053679957,0.006431599,0.0015347312,-0.033525214,0.007715798,0.006410939,0.0064104735,-0.008006702,0.024610672,-0.054758035,-0.0005173446,-0.002330159,0.0033511198,-0.035462424,-0.03607092,-0.015300183,-0.014766754,0.20467041,-0.021160169,0.002179568,-0.001383557,-0.0012205373,-0.0025072151,-0.054767936,-0.18373781,0.030301822,-0.0016109503,0.007642352,-0.054840185,-0.004574781,0.0025877,0.2711061,-0.02070751,-0.0045747813,-0.19370277,0.006413797,0.0053382637,-0.0010632826,-0.0012943419,-0.00088238117,-0.00069932325,2.3547924e-05,-0.0006687277,-0.008517021,-0.03544975,-0.00058615505,-0.00050789455,-0.00054735347,0.0030903022,-0.00250006,-0.05015465,-0.0010902864,0.0076416275,-0.0007296795,0.0017980039,0.02983022,0.0039428794,0.0040745796,0.00294018,0.0032545114,0.0025533221,0.002527682,0.022529904,-0.00068968005,-0.008209417,-0.0017258662,-0.012966335,-0.03395203,-0.02744938,-0.027449332,-0.027451418,-0.027457753,-0.03484318,-0.032699224,0.044632725,0.04590504,0.044836283,0.014769086,0.021098217,0.021098293,-0.12456949,-0.02918316,-0.029194701,-0.0432757,-0.13234273,-0.16309722,-0.16309722,-0.16389929,-0.1630972,-0.16350272,-0.16036955,-0.11475735,-0.13234279,-0.13881852,-0.13742317,-0.16312923,-0.13331495,-0.13328849,-0.1376457,-0.13742317,0.0001619265,0.0001614772,0.00016229809,-0.03201639,-0.08082678,-0.08021945,-4.3567085e-05,-0.08213677,-0.07596309,-0.0729779,-0.07262676,-0.13751303,-0.12922488,-0.12965143,-0.13043258,-0.13214718,-0.13022518
